"ParticipantName"	"StudioTestName"	"Group"	"FixationIndex"	"category"	"n"	"condt"
"AHV_UP"	"CRO1"	2	341	"X"	11	"Color_Clock"
"AHV_UP"	"CRO1"	2	342	"X"	7	"Color_Clock"
"AHV_UP"	"CRO1"	2	343	"A"	46	"Color_Clock"
"AHV_UP"	"CRO1"	2	344	"B"	16	"Color_Clock"
"AHV_UP"	"CRO1"	2	345	"B"	13	"Color_Clock"
"AHV_UP"	"CRO1"	2	376	"X"	13	"Color_Clock_2"
"AHV_UP"	"CRO1"	2	377	"X"	7	"Color_Clock_2"
"AHV_UP"	"CRO1"	2	378	"B"	10	"Color_Clock_2"
"AHV_UP"	"CRO1"	2	379	"B"	13	"Color_Clock_2"
"AHV_UP"	"CRO1"	2	380	"A"	11	"Color_Clock_2"
"AHV_UP"	"CRO1"	2	381	"B"	13	"Color_Clock_2"
"AHV_UP"	"CRO1"	2	382	"B"	17	"Color_Clock_2"
"AHV_UP"	"CRO1"	2	383	"C"	15	"Color_Clock_2"
"AHV_UP"	"CRO1"	2	384	"C"	13	"Color_Clock_2"
"AHV_UP"	"CRO1"	2	385	"C"	20	"Color_Clock_2"
"AHV_UP"	"CRO1"	2	386	"C"	19	"Color_Clock_2"
"AHV_UP"	"CRO1"	2	387	"A"	12	"Color_Clock_2"
"AHV_UP"	"CRO1"	2	388	"C"	9	"Color_Clock_2"
"AHV_UP"	"CRO1"	2	389	"A"	14	"Color_Clock_2"
"AHV_UP"	"CRO1"	2	390	"A"	8	"Color_Clock_2"
"AHV_UP"	"CRO1"	2	391	"A"	14	"Color_Clock_2"
"AHV_UP"	"CRO1"	2	392	"C"	10	"Color_Clock_2"
"AHV_UP"	"CRO1"	2	393	"A"	43	"Color_Clock_2"
"AHV_UP"	"CRO1"	2	531	"X"	10	"Color_Clock_3"
"AHV_UP"	"CRO1"	2	532	"X"	8	"Color_Clock_3"
"AHV_UP"	"CRO1"	2	533	"C"	8	"Color_Clock_3"
"AHV_UP"	"CRO1"	2	534	"C"	13	"Color_Clock_3"
"AHV_UP"	"CRO1"	2	535	"C"	14	"Color_Clock_3"
"AHV_UP"	"CRO1"	2	536	"C"	10	"Color_Clock_3"
"AHV_UP"	"CRO1"	2	537	"X"	12	"Color_Clock_3"
"AHV_UP"	"CRO1"	2	538	"C"	9	"Color_Clock_3"
"AHV_UP"	"CRO1"	2	539	"C"	11	"Color_Clock_3"
"AHV_UP"	"CRO1"	2	540	"A"	13	"Color_Clock_3"
"AHV_UP"	"CRO1"	2	541	"C"	6	"Color_Clock_3"
"AHV_UP"	"CRO1"	2	542	"A"	41	"Color_Clock_3"
"AHV_UP"	"CRO1"	2	556	"X"	10	"Color_Clock_4"
"AHV_UP"	"CRO1"	2	557	"C"	23	"Color_Clock_4"
"AHV_UP"	"CRO1"	2	558	"B"	31	"Color_Clock_4"
"AHV_UP"	"CRO1"	2	559	"B"	19	"Color_Clock_4"
"AHV_UP"	"CRO1"	2	560	"A"	11	"Color_Clock_4"
"AHV_UP"	"CRO1"	2	561	"A"	52	"Color_Clock_4"
"AHV_UP"	"CRO1"	2	607	"X"	12	"Color_Clock_5"
"AHV_UP"	"CRO1"	2	608	"B"	10	"Color_Clock_5"
"AHV_UP"	"CRO1"	2	611	"A"	63	"Color_Clock_5"
"AHV_UP"	"CRO1"	2	649	"X"	13	"Color_Clock_6"
"AHV_UP"	"CRO1"	2	650	"A"	89	"Color_Clock_6"
