"ParticipantName"	"StudioTestName"	"Group"	"Condition"	"AA"	"AB"	"AC"	"AX"	"BA"	"BB"	"BC"	"BX"	"CA"	"CB"	"CC"	"CX"	"XA"	"XB"	"XC"	"XX"
"AHV_UP"	"CRO1"	2	"Clock"	4	3	3	0	4	4	1	0	5	2	8	2	3	2	4	3
"AHV_UP"	"CRO1"	2	"corners"	2	3	5	2	8	5	2	1	4	5	16	1	2	4	2	1
"AHV_UP"	"CRO1"	2	"SOC"	5	7	3	2	11	7	0	4	1	1	1	1	2	5	0	0
"AHV_UP"	"CRO1"	2	"wide"	6	4	2	4	3	0	0	4	3	1	8	1	9	3	2	4
"AHV_UP"	"WO1"	2	"Clock"	6	6	0	0	5	7	0	0	1	0	2	2	5	2	3	2
"AHV_UP"	"WO1"	2	"corners"	4	5	1	2	5	6	1	3	2	3	1	0	5	1	3	3
"AHV_UP"	"WO1"	2	"SOC"	4	3	5	0	4	6	1	1	4	2	4	2	2	0	1	1
"AHV_UP"	"WO1"	2	"wide"	7	1	3	4	3	3	0	3	0	2	4	5	9	3	5	6
"BF"	"CRO1"	2	"Clock"	8	7	3	0	10	9	2	0	4	1	11	4	2	2	4	2
"BF"	"CRO1"	2	"corners"	6	5	2	2	7	11	1	4	3	3	3	0	2	4	3	4
"BF"	"CRO1"	2	"SOC"	6	3	4	3	3	5	0	3	6	3	8	1	4	0	3	1
"BF"	"CRO1"	2	"wide"	3	2	2	6	4	11	0	6	3	4	8	4	8	4	7	6
"BF"	"WO1"	2	"Clock"	8	4	2	0	7	8	0	7	1	2	6	4	1	7	5	6
"BF"	"WO1"	2	"corners"	10	9	4	1	8	21	5	4	7	3	23	4	2	5	6	10
"BF"	"WO1"	2	"SOC"	8	4	8	1	5	3	4	0	11	3	17	6	1	3	5	1
"BF"	"WO1"	2	"wide"	4	1	2	4	1	2	1	3	2	1	5	12	3	3	10	25
"CB_SV"	"CRO1"	2	"Clock"	9	2	2	0	4	5	1	0	4	4	15	0	2	1	1	0
"CB_SV"	"CRO1"	2	"corners"	8	4	1	1	6	6	1	2	4	2	8	1	2	5	4	4
"CB_SV"	"CRO1"	2	"SOC"	7	5	3	1	4	4	1	1	4	1	20	5	2	1	6	0
"CB_SV"	"CRO1"	2	"wide"	8	2	6	4	5	7	4	6	8	9	22	7	6	3	12	7
"CB_SV"	"WO1"	2	"Clock"	6	2	3	4	3	9	2	0	5	4	11	2	6	0	6	7
"CB_SV"	"WO1"	2	"corners"	14	1	0	2	4	3	0	1	0	3	8	2	3	1	4	2
"CB_SV"	"WO1"	2	"SOC"	5	1	4	0	2	6	4	1	9	5	22	2	0	1	1	0
"CB_SV"	"WO1"	2	"wide"	9	4	2	1	5	4	3	1	4	4	18	13	4	2	11	3
"HGR_UP2"	"CRO1"	2	"Clock"	4	1	0	1	2	4	1	2	2	2	9	0	3	4	3	5
"HGR_UP2"	"CRO1"	2	"corners"	4	0	1	1	6	8	1	1	2	5	5	1	1	1	4	4
"HGR_UP2"	"CRO1"	2	"SOC"	2	1	0	2	5	4	1	0	3	1	1	1	0	3	2	0
"HGR_UP2"	"CRO1"	2	"wide"	3	0	3	1	1	3	1	5	6	1	6	5	3	4	5	3
"HGR_UP2"	"WO1"	2	"Clock"	4	1	0	0	4	6	1	0	2	3	8	2	2	2	4	3
"HGR_UP2"	"WO1"	2	"corners"	4	1	0	1	4	4	3	0	3	4	10	1	3	2	3	6
"HGR_UP2"	"WO1"	2	"SOC"	4	3	1	0	3	5	4	1	5	3	7	1	1	1	0	0
"HGR_UP2"	"WO1"	2	"wide"	5	1	2	1	4	5	5	3	3	4	6	4	4	6	2	2
"TR"	"CRO1"	2	"Clock"	3	0	0	0	1	1	0	2	1	0	0	1	4	4	1	9
"TR"	"CRO1"	2	"corners"	3	1	2	1	1	1	1	2	4	0	6	4	2	2	3	3
"TR"	"CRO1"	2	"SOC"	7	1	3	0	2	2	3	0	3	1	3	1	1	0	0	0
"TR"	"CRO1"	2	"wide"	3	1	0	2	3	2	0	1	1	1	4	6	5	0	7	10
"TR"	"WO1"	2	"Clock"	4	1	5	2	2	2	2	0	5	1	6	3	3	0	5	2
"TR"	"WO1"	2	"corners"	7	1	0	2	2	2	1	1	0	0	4	4	3	2	3	3
"TR"	"WO1"	2	"SOC"	5	1	2	2	1	2	1	2	3	0	3	2	3	1	3	0
"TR"	"WO1"	2	"wide"	3	0	0	2	1	3	1	3	1	3	1	2	2	2	3	8
