"ParticipantName"	"StudioTestName"	"Group"	"FixationIndex"	"category"	"n"	"condt"
"AA_HW"	"CRO1"	3	345	"X"	22	"Color_Clock_2"
"AA_HW"	"CRO1"	3	346	"A"	85	"Color_Clock_2"
"AA_HW"	"CRO1"	3	347	"B"	17	"Color_Clock_2"
"AA_HW"	"CRO1"	3	348	"A"	78	"Color_Clock_2"
"AA_HW"	"CRO1"	3	349	"A"	47	"Color_Clock_2"
"AA_HW"	"CRO1"	3	518	"X"	30	"Color_Clock_3"
"AA_HW"	"CRO1"	3	519	"X"	7	"Color_Clock_3"
"AA_HW"	"CRO1"	3	520	"C"	27	"Color_Clock_3"
"AA_HW"	"CRO1"	3	521	"C"	11	"Color_Clock_3"
"AA_HW"	"CRO1"	3	522	"C"	25	"Color_Clock_3"
"AA_HW"	"CRO1"	3	523	"X"	15	"Color_Clock_3"
"AA_HW"	"CRO1"	3	524	"B"	20	"Color_Clock_3"
"AA_HW"	"CRO1"	3	525	"A"	22	"Color_Clock_3"
"AA_HW"	"CRO1"	3	526	"A"	19	"Color_Clock_3"
"AA_HW"	"CRO1"	3	527	"A"	28	"Color_Clock_3"
"AA_HW"	"CRO1"	3	528	"X"	21	"Color_Clock_3"
"AA_HW"	"CRO1"	3	529	"A"	20	"Color_Clock_3"
"AA_HW"	"CRO1"	3	530	"A"	45	"Color_Clock_3"
"AA_HW"	"CRO1"	3	542	"X"	18	"Color_Clock_4"
"AA_HW"	"CRO1"	3	543	"C"	18	"Color_Clock_4"
"AA_HW"	"CRO1"	3	544	"C"	26	"Color_Clock_4"
"AA_HW"	"CRO1"	3	545	"C"	25	"Color_Clock_4"
"AA_HW"	"CRO1"	3	546	"C"	23	"Color_Clock_4"
"AA_HW"	"CRO1"	3	547	"C"	9	"Color_Clock_4"
"AA_HW"	"CRO1"	3	548	"C"	64	"Color_Clock_4"
"AA_HW"	"CRO1"	3	549	"B"	49	"Color_Clock_4"
"AA_HW"	"CRO1"	3	550	"B"	12	"Color_Clock_4"
"AA_HW"	"CRO1"	3	551	"B"	15	"Color_Clock_4"
"AA_HW"	"CRO1"	3	552	"A"	32	"Color_Clock_4"
"AA_HW"	"CRO1"	3	553	"C"	16	"Color_Clock_4"
"AA_HW"	"CRO1"	3	554	"C"	24	"Color_Clock_4"
"AA_HW"	"CRO1"	3	555	"C"	14	"Color_Clock_4"
"AA_HW"	"CRO1"	3	556	"A"	148	"Color_Clock_4"
"AA_HW"	"CRO1"	3	557	"B"	3	"Color_Clock_4"
"AA_HW"	"CRO1"	3	601	"X"	12	"Color_Clock_5"
"AA_HW"	"CRO1"	3	602	"C"	14	"Color_Clock_5"
"AA_HW"	"CRO1"	3	603	"C"	12	"Color_Clock_5"
"AA_HW"	"CRO1"	3	604	"C"	15	"Color_Clock_5"
"AA_HW"	"CRO1"	3	605	"X"	13	"Color_Clock_5"
"AA_HW"	"CRO1"	3	640	"X"	16	"Color_Clock_6"
"AA_HW"	"CRO1"	3	641	"C"	22	"Color_Clock_6"
"AA_HW"	"CRO1"	3	642	"A"	21	"Color_Clock_6"
"AA_HW"	"CRO1"	3	643	"A"	88	"Color_Clock_6"
"AA_HW"	"CRO1"	3	644	"X"	60	"Color_Clock_6"
"AA_HW"	"CRO1"	3	645	"B"	48	"Color_Clock_6"
"AA_HW"	"CRO1"	3	646	"A"	88	"Color_Clock_6"
"AA_HW"	"CRO1"	3	680	"C"	59	"Color_Clock_7"
"AA_HW"	"CRO1"	3	681	"C"	16	"Color_Clock_7"
"AA_HW"	"CRO1"	3	682	"C"	9	"Color_Clock_7"
"AA_HW"	"CRO1"	3	683	"C"	33	"Color_Clock_7"
"AA_HW"	"CRO1"	3	684	"C"	8	"Color_Clock_7"
"AA_HW"	"CRO1"	3	685	"A"	19	"Color_Clock_7"
"AA_HW"	"CRO1"	3	686	"B"	25	"Color_Clock_7"
"AA_HW"	"CRO1"	3	687	"A"	13	"Color_Clock_7"
"AA_HW"	"CRO1"	3	688	"A"	69	"Color_Clock_7"
"AA_HW"	"CRO1"	3	714	"A"	22	"Color_Clock_8"
"AA_HW"	"CRO1"	3	715	"X"	15	"Color_Clock_8"
"AA_HW"	"CRO1"	3	716	"A"	18	"Color_Clock_8"
"AA_HW"	"CRO1"	3	717	"A"	24	"Color_Clock_8"
"AA_HW"	"CRO1"	3	304	"X"	24	"Color_Clock"
"AA_HW"	"CRO1"	3	305	"X"	8	"Color_Clock"
"AA_HW"	"CRO1"	3	306	"C"	17	"Color_Clock"
"AA_HW"	"CRO1"	3	307	"B"	14	"Color_Clock"
"AA_HW"	"CRO1"	3	308	"B"	13	"Color_Clock"
"AA_HW"	"CRO1"	3	309	"A"	43	"Color_Clock"
"AA_HW"	"CRO1"	3	310	"A"	45	"Color_Clock"
"AA_HW"	"CRO1"	3	133	"X"	21	"Color_corners_2"
"AA_HW"	"CRO1"	3	134	"B"	21	"Color_corners_2"
"AA_HW"	"CRO1"	3	135	"X"	12	"Color_corners_2"
"AA_HW"	"CRO1"	3	136	"A"	25	"Color_corners_2"
"AA_HW"	"CRO1"	3	137	"B"	61	"Color_corners_2"
"AA_HW"	"CRO1"	3	138	"A"	153	"Color_corners_2"
"AA_HW"	"CRO1"	3	207	"X"	15	"Color_corners_3"
"AA_HW"	"CRO1"	3	208	"C"	15	"Color_corners_3"
"AA_HW"	"CRO1"	3	209	"C"	9	"Color_corners_3"
"AA_HW"	"CRO1"	3	210	"C"	23	"Color_corners_3"
"AA_HW"	"CRO1"	3	211	"C"	22	"Color_corners_3"
"AA_HW"	"CRO1"	3	212	"B"	25	"Color_corners_3"
"AA_HW"	"CRO1"	3	213	"B"	14	"Color_corners_3"
"AA_HW"	"CRO1"	3	214	"B"	14	"Color_corners_3"
"AA_HW"	"CRO1"	3	215	"C"	13	"Color_corners_3"
"AA_HW"	"CRO1"	3	216	"A"	19	"Color_corners_3"
"AA_HW"	"CRO1"	3	217	"C"	26	"Color_corners_3"
"AA_HW"	"CRO1"	3	218	"A"	12	"Color_corners_3"
"AA_HW"	"CRO1"	3	219	"A"	65	"Color_corners_3"
"AA_HW"	"CRO1"	3	220	"C"	26	"Color_corners_3"
"AA_HW"	"CRO1"	3	221	"C"	21	"Color_corners_3"
"AA_HW"	"CRO1"	3	222	"X"	9	"Color_corners_3"
"AA_HW"	"CRO1"	3	223	"A"	13	"Color_corners_3"
"AA_HW"	"CRO1"	3	224	"A"	106	"Color_corners_3"
"AA_HW"	"CRO1"	3	246	"C"	20	"Color_corners_4"
"AA_HW"	"CRO1"	3	247	"X"	17	"Color_corners_4"
"AA_HW"	"CRO1"	3	248	"B"	17	"Color_corners_4"
"AA_HW"	"CRO1"	3	249	"A"	22	"Color_corners_4"
"AA_HW"	"CRO1"	3	250	"X"	55	"Color_corners_4"
"AA_HW"	"CRO1"	3	251	"B"	16	"Color_corners_4"
"AA_HW"	"CRO1"	3	252	"A"	13	"Color_corners_4"
"AA_HW"	"CRO1"	3	253	"B"	30	"Color_corners_4"
"AA_HW"	"CRO1"	3	254	"B"	11	"Color_corners_4"
"AA_HW"	"CRO1"	3	255	"B"	14	"Color_corners_4"
"AA_HW"	"CRO1"	3	256	"A"	41	"Color_corners_4"
"AA_HW"	"CRO1"	3	257	"A"	67	"Color_corners_4"
"AA_HW"	"CRO1"	3	369	"C"	13	"Color_corners_5"
"AA_HW"	"CRO1"	3	370	"C"	22	"Color_corners_5"
"AA_HW"	"CRO1"	3	371	"C"	32	"Color_corners_5"
"AA_HW"	"CRO1"	3	372	"C"	26	"Color_corners_5"
"AA_HW"	"CRO1"	3	373	"B"	23	"Color_corners_5"
"AA_HW"	"CRO1"	3	374	"B"	26	"Color_corners_5"
"AA_HW"	"CRO1"	3	375	"B"	21	"Color_corners_5"
"AA_HW"	"CRO1"	3	376	"B"	15	"Color_corners_5"
"AA_HW"	"CRO1"	3	377	"B"	32	"Color_corners_5"
"AA_HW"	"CRO1"	3	378	"B"	22	"Color_corners_5"
"AA_HW"	"CRO1"	3	379	"A"	11	"Color_corners_5"
"AA_HW"	"CRO1"	3	381	"B"	22	"Color_corners_5"
"AA_HW"	"CRO1"	3	382	"B"	9	"Color_corners_5"
"AA_HW"	"CRO1"	3	383	"X"	34	"Color_corners_5"
"AA_HW"	"CRO1"	3	412	"C"	29	"Color_corners_6"
"AA_HW"	"CRO1"	3	413	"X"	15	"Color_corners_6"
"AA_HW"	"CRO1"	3	414	"B"	24	"Color_corners_6"
"AA_HW"	"CRO1"	3	415	"X"	18	"Color_corners_6"
"AA_HW"	"CRO1"	3	416	"X"	13	"Color_corners_6"
"AA_HW"	"CRO1"	3	417	"C"	14	"Color_corners_6"
"AA_HW"	"CRO1"	3	418	"C"	20	"Color_corners_6"
"AA_HW"	"CRO1"	3	419	"A"	26	"Color_corners_6"
"AA_HW"	"CRO1"	3	420	"X"	24	"Color_corners_6"
"AA_HW"	"CRO1"	3	421	"X"	18	"Color_corners_6"
"AA_HW"	"CRO1"	3	422	"C"	15	"Color_corners_6"
"AA_HW"	"CRO1"	3	423	"B"	16	"Color_corners_6"
"AA_HW"	"CRO1"	3	424	"B"	21	"Color_corners_6"
"AA_HW"	"CRO1"	3	425	"A"	15	"Color_corners_6"
"AA_HW"	"CRO1"	3	426	"X"	19	"Color_corners_6"
"AA_HW"	"CRO1"	3	427	"X"	15	"Color_corners_6"
