"ParticipantName"	"StudioTestName"	"Group"	"Condition"	"AA"	"AB"	"AC"	"AX"	"BA"	"BB"	"BC"	"BX"	"CA"	"CB"	"CC"	"CX"	"XA"	"XB"	"XC"	"XX"
"AA_HW"	"CRO1"	3	"Clock"	8	3	1	3	6	3	0	0	3	2	15	2	3	2	5	2
"AA_HW"	"CRO1"	3	"corners"	3	5	2	5	11	14	1	4	5	4	19	4	3	7	6	3
"AA_HW"	"CRO1"	3	"SOC"	7	2	3	3	6	4	2	0	6	4	33	7	0	2	8	5
"AA_HW"	"CRO1"	3	"wide"	7	4	5	5	5	4	2	5	8	7	18	8	4	1	14	2
"AA_HW"	"WO1"	3	"Clock"	7	9	5	5	12	7	5	4	7	5	62	12	6	6	11	9
"AA_HW"	"WO1"	3	"corners"	8	4	6	4	8	7	2	1	5	4	52	10	5	4	10	5
"AA_HW"	"WO1"	3	"SOC"	3	2	2	1	2	2	5	0	5	4	22	7	1	1	5	3
"AA_HW"	"WO1"	3	"wide"	13	2	4	1	2	7	2	4	5	3	8	5	4	4	5	1
"BM_HW"	"CRO1"	3	"Clock"	4	4	1	0	7	4	3	1	2	5	19	2	4	2	2	3
"BM_HW"	"CRO1"	3	"corners"	8	6	2	0	9	8	2	0	3	3	10	7	2	2	7	2
"BM_HW"	"CRO1"	3	"SOC"	8	0	0	1	3	0	1	2	1	2	20	3	4	4	4	1
"BM_HW"	"CRO1"	3	"wide"	8	1	2	2	5	2	1	2	5	2	12	5	3	4	6	3
"BM_HW"	"WO1"	3	"Clock"	10	3	1	5	5	3	1	1	5	2	16	4	5	3	6	4
"BM_HW"	"WO1"	3	"corners"	5	3	2	0	7	9	4	2	2	6	15	3	3	4	5	2
"BM_HW"	"WO1"	3	"SOC"	21	5	8	0	9	2	2	1	9	5	39	6	1	1	5	1
"BM_HW"	"WO1"	3	"wide"	5	3	1	2	5	4	1	2	1	4	21	5	5	3	6	7
"ED_HW"	"CRO1"	3	"Clock"	8	3	1	0	6	5	2	0	3	6	47	4	0	0	9	4
"ED_HW"	"CRO1"	3	"corners"	6	6	1	4	9	9	3	2	6	5	24	2	1	2	8	0
"ED_HW"	"CRO1"	3	"SOC"	9	4	7	2	9	3	5	0	7	9	14	2	3	0	1	0
"ED_HW"	"CRO1"	3	"wide"	7	3	6	2	7	6	2	4	8	5	20	6	4	4	9	2
"ED_HW"	"WO1"	3	"Clock"	8	4	1	1	9	8	1	0	3	4	23	1	0	2	5	2
"ED_HW"	"WO1"	3	"corners"	10	4	3	4	9	6	5	0	7	8	15	5	2	2	11	1
"ED_HW"	"WO1"	3	"SOC"	9	4	7	0	7	5	4	2	8	7	13	0	2	1	0	0
"ED_HW"	"WO1"	3	"wide"	8	1	1	3	0	6	2	5	3	3	3	5	8	1	8	3
"GM_HW"	"CRO1"	3	"Clock"	9	9	3	4	13	10	2	2	4	3	20	4	3	4	7	3
"GM_HW"	"CRO1"	3	"corners"	14	10	4	4	11	6	3	4	8	2	25	12	4	6	12	7
"GM_HW"	"CRO1"	3	"SOC"	12	2	10	3	7	7	6	3	8	13	49	10	5	2	9	3
"GM_HW"	"CRO1"	3	"wide"	12	5	11	9	7	7	6	7	12	7	43	14	8	7	17	11
"GM_HW"	"WO1"	3	"Clock"	13	13	3	4	15	20	5	7	6	5	43	12	6	9	13	8
"GM_HW"	"WO1"	3	"corners"	13	15	2	7	16	18	3	5	4	4	22	12	11	6	12	3
"GM_HW"	"WO1"	3	"SOC"	19	7	12	1	9	18	11	2	11	13	49	11	4	2	8	1
"GM_HW"	"WO1"	3	"wide"	21	1	5	6	2	7	5	6	7	6	20	9	10	6	7	18
"SL_HW"	"CRO1"	3	"Clock"	9	3	1	2	6	6	0	3	2	1	19	8	5	5	7	4
"SL_HW"	"CRO1"	3	"corners"	4	6	3	3	11	7	0	1	3	2	18	5	4	4	4	3
"SL_HW"	"CRO1"	3	"SOC"	2	0	3	1	5	8	2	3	4	5	18	2	2	3	1	3
"SL_HW"	"CRO1"	3	"wide"	0	2	2	2	2	4	2	2	6	1	23	7	3	3	11	1
"SL_HW"	"WO1"	3	"Clock"	9	5	0	2	8	12	0	1	2	1	4	0	3	2	2	6
"SL_HW"	"WO1"	3	"corners"	13	6	1	2	10	10	1	1	1	4	6	3	2	2	4	2
"SL_HW"	"WO1"	3	"SOC"	14	5	5	2	9	9	3	1	6	4	17	8	4	2	5	0
"SL_HW"	"WO1"	3	"wide"	13	2	1	4	2	3	6	2	3	3	18	6	6	4	2	0
"TW_HW"	"CRO1"	3	"Clock"	11	10	2	3	11	16	0	4	4	6	31	11	4	0	19	10
"TW_HW"	"CRO1"	3	"corners"	9	7	4	4	10	8	2	2	6	2	28	7	3	5	7	7
"TW_HW"	"CRO1"	3	"SOC"	14	2	8	3	2	3	3	5	12	7	32	10	4	1	13	2
"TW_HW"	"CRO1"	3	"wide"	20	5	6	6	5	1	2	4	8	4	31	14	8	3	14	16
"TW_HW"	"WO1"	3	"Clock"	7	5	2	1	7	7	1	7	2	2	15	8	2	9	6	7
"TW_HW"	"WO1"	3	"corners"	8	9	6	3	5	7	6	7	10	3	26	12	3	6	11	23
"TW_HW"	"WO1"	3	"SOC"	18	6	4	5	8	11	10	2	4	10	32	8	5	4	6	3
"TW_HW"	"WO1"	3	"wide"	21	5	2	9	8	5	2	4	6	4	19	8	6	6	11	11
"YL_HW"	"CRO1"	3	"Clock"	25	8	3	3	13	6	0	1	4	2	13	3	4	4	6	9
"YL_HW"	"CRO1"	3	"corners"	19	9	5	3	14	15	8	0	6	9	57	9	4	3	10	7
"YL_HW"	"CRO1"	3	"SOC"	18	3	7	5	9	10	2	2	6	9	31	2	5	1	5	0
"YL_HW"	"CRO1"	3	"wide"	23	6	4	13	5	5	5	4	7	5	30	14	16	3	15	9
"YL_HW"	"WO1"	3	"Clock"	29	3	2	8	6	15	1	3	6	4	14	5	8	3	11	9
"YL_HW"	"WO1"	3	"corners"	13	9	1	2	9	5	0	4	3	3	30	5	4	2	8	2
"YL_HW"	"WO1"	3	"SOC"	17	3	5	2	3	9	6	1	7	5	37	5	3	2	3	0
"YL_HW"	"WO1"	3	"wide"	12	5	3	5	4	11	7	5	6	7	32	16	10	4	15	13
