"ParticipantName"	"StudioTestName"	"Group"	"FixationIndex"	"category"	"n"	"condt"
"HS"	"CO1"	2	79	"X"	13	"Color_Clock"
"HS"	"CO1"	2	80	"C"	21	"Color_Clock"
"HS"	"CO1"	2	81	"C"	24	"Color_Clock"
"HS"	"CO1"	2	130	"X"	12	"Color_Clock_2"
"HS"	"CO1"	2	131	"C"	11	"Color_Clock_2"
"HS"	"CO1"	2	132	"C"	16	"Color_Clock_2"
"HS"	"CO1"	2	133	"A"	14	"Color_Clock_2"
"HS"	"CO1"	2	136	"C"	18	"Color_Clock_2"
"HS"	"CO1"	2	137	"C"	15	"Color_Clock_2"
"HS"	"CO1"	2	138	"C"	13	"Color_Clock_2"
"HS"	"CO1"	2	140	"A"	18	"Color_Clock_2"
"HS"	"CO1"	2	141	"A"	10	"Color_Clock_2"
"HS"	"CO1"	2	142	"A"	9	"Color_Clock_2"
"HS"	"CO1"	2	143	"B"	29	"Color_Clock_2"
"HS"	"CO1"	2	144	"B"	15	"Color_Clock_2"
"HS"	"CO1"	2	145	"B"	12	"Color_Clock_2"
"HS"	"CO1"	2	146	"X"	10	"Color_Clock_2"
"HS"	"CO1"	2	147	"B"	17	"Color_Clock_2"
"HS"	"CO1"	2	148	"C"	22	"Color_Clock_2"
"HS"	"CO1"	2	149	"X"	14	"Color_Clock_2"
"HS"	"CO1"	2	150	"C"	10	"Color_Clock_2"
"HS"	"CO1"	2	151	"C"	16	"Color_Clock_2"
"HS"	"CO1"	2	152	"B"	10	"Color_Clock_2"
"HS"	"CO1"	2	153	"A"	54	"Color_Clock_2"
"HS"	"CO1"	2	197	"X"	14	"Color_Clock_3"
"HS"	"CO1"	2	198	"C"	14	"Color_Clock_3"
"HS"	"CO1"	2	199	"C"	9	"Color_Clock_3"
"HS"	"CO1"	2	200	"A"	10	"Color_Clock_3"
"HS"	"CO1"	2	201	"A"	25	"Color_Clock_3"
"HS"	"CO1"	2	202	"X"	18	"Color_Clock_3"
"HS"	"CO1"	2	203	"A"	19	"Color_Clock_3"
"HS"	"CO1"	2	204	"C"	7	"Color_Clock_3"
"HS"	"CO1"	2	249	"X"	4	"Color_Clock_4"
