"ParticipantName"	"StudioTestName"	"Group"	"Condition"	"AA"	"AB"	"AC"	"AX"	"BA"	"BB"	"BC"	"BX"	"CA"	"CB"	"CC"	"CX"	"XA"	"XB"	"XC"	"XX"
"HS"	"CO1"	2	"Clock"	6	5	5	2	8	9	3	1	4	4	20	3	3	3	7	1
"HS"	"CO1"	2	"corners"	2	4	2	1	5	8	4	2	3	9	27	3	4	0	5	2
"HS"	"CO1"	2	"SOC"	4	6	4	0	5	2	1	1	6	2	18	4	1	2	2	0
"HS"	"CO1"	2	"wide"	10	3	5	5	4	18	6	6	9	9	32	23	4	6	29	3
"HS"	"WRO1"	2	"Clock"	4	7	2	1	8	7	1	1	4	3	13	0	2	2	5	5
"HS"	"WRO1"	2	"corners"	5	0	0	0	3	9	1	4	2	5	20	4	3	3	6	6
"HS"	"WRO1"	2	"SOC"	1	3	1	3	5	5	2	3	1	4	4	3	4	3	1	4
"HS"	"WRO1"	2	"wide"	4	0	1	3	1	1	1	1	3	0	3	4	6	2	5	9
"kaw-up"	"WRO1"	2	"Clock"	1	2	1	1	3	9	5	3	5	7	30	2	1	3	8	2
"kaw-up"	"WRO1"	2	"corners"	1	2	1	0	3	6	1	0	1	2	7	1	1	1	2	1
"kaw-up"	"WRO1"	2	"SOC"	3	1	1	1	5	6	3	1	3	5	16	3	1	2	3	0
"kaw-up"	"WRO1"	2	"wide"	3	1	3	0	1	5	4	2	5	4	15	3	2	3	4	1
"kaw2-up"	"CO1"	2	"Clock"	5	1	2	1	5	3	0	0	3	2	29	1	1	2	2	0
"kaw2-up"	"CO1"	2	"corners"	3	2	0	1	5	8	1	0	4	3	23	5	0	2	9	3
"kaw2-up"	"CO1"	2	"SOC"	4	3	6	1	4	1	1	0	5	2	18	2	1	2	1	1
"kaw2-up"	"CO1"	2	"wide"	3	1	3	0	5	4	6	4	3	8	13	3	3	4	3	4
"RYO_MD"	"CO1"	2	"Clock"	4	3	2	2	9	9	0	0	3	2	4	3	2	4	6	6
"RYO_MD"	"CO1"	2	"corners"	2	4	2	1	7	8	3	1	2	4	14	9	3	2	7	7
"RYO_MD"	"CO1"	2	"SOC"	5	1	1	2	3	5	4	0	3	5	17	7	4	1	5	1
"RYO_MD"	"CO1"	2	"wide"	8	1	5	3	3	6	0	8	8	1	19	12	4	8	12	11
"RYO_MD"	"WRO1"	2	"Clock"	14	4	5	2	6	4	1	1	4	2	35	13	7	1	13	9
"RYO_MD"	"WRO1"	2	"corners"	11	5	1	2	7	1	1	0	4	0	21	2	4	2	3	1
"RYO_MD"	"WRO1"	2	"SOC"	7	3	4	3	8	10	5	2	7	9	29	5	0	3	7	4
"RYO_MD"	"WRO1"	2	"wide"	16	1	0	7	3	7	6	4	3	7	35	8	9	3	12	10
"ZW"	"CO1"	2	"Clock"	3	3	2	1	4	5	1	0	1	2	5	2	2	3	2	12
"ZW"	"CO1"	2	"corners"	5	2	1	4	3	6	3	1	4	0	6	2	2	7	3	7
"ZW"	"CO1"	2	"SOC"	6	0	2	4	4	4	3	4	2	4	5	4	2	7	4	4
"ZW"	"CO1"	2	"wide"	2	1	0	1	2	8	0	8	1	1	3	4	2	9	3	20
"ZW"	"WRO1"	2	"Clock"	2	1	0	1	5	8	0	0	1	2	14	2	1	4	5	4
"ZW"	"WRO1"	2	"corners"	10	3	2	2	5	5	2	2	3	3	4	2	3	5	2	9
"ZW"	"WRO1"	2	"SOC"	4	0	0	2	2	4	1	0	2	1	11	4	2	3	1	5
"ZW"	"WRO1"	2	"wide"	2	0	0	0	1	0	1	6	0	5	8	10	3	4	12	21
