"ParticipantName"	"StudioTestName"	"Group"	"Condition"	"AA"	"AB"	"AC"	"AX"	"BA"	"BB"	"BC"	"BX"	"CA"	"CB"	"CC"	"CX"	"XA"	"XB"	"XC"	"XX"
"AH_HW"	"CO1"	3	"Clock"	15	10	7	4	17	12	3	3	4	9	50	6	3	3	9	5
"AH_HW"	"CO1"	3	"corners"	11	3	6	5	6	6	2	3	3	3	16	5	9	7	2	8
"AH_HW"	"CO1"	3	"SOC"	10	6	4	3	11	13	3	3	4	8	36	2	5	0	4	0
"AH_HW"	"CO1"	3	"wide"	13	7	6	7	10	9	4	13	7	6	30	12	10	12	14	7
"AH_HW"	"WRO1"	3	"Clock"	22	8	10	3	15	19	3	2	11	9	85	11	3	3	15	9
"AH_HW"	"WRO1"	3	"corners"	21	11	6	5	16	10	1	4	6	5	46	9	4	7	12	11
"AH_HW"	"WRO1"	3	"SOC"	26	7	11	8	8	16	7	2	17	7	82	11	6	3	16	4
"AH_HW"	"WRO1"	3	"wide"	20	2	6	4	4	13	8	9	8	7	35	18	4	12	15	7
"MG_HW"	"CO1"	3	"Clock"	10	8	4	2	10	12	6	2	5	7	52	10	1	3	13	11
"MG_HW"	"CO1"	3	"corners"	14	8	3	6	10	16	4	5	6	8	51	11	4	4	16	14
"MG_HW"	"CO1"	3	"SOC"	6	8	7	3	8	10	6	4	8	7	43	6	6	1	6	3
"MG_HW"	"CO1"	3	"wide"	6	5	2	2	4	8	5	5	4	5	28	8	6	3	8	5
"MG_HW"	"WRO1"	3	"Clock"	9	1	0	6	5	5	1	1	2	6	26	4	2	1	11	6
"MG_HW"	"WRO1"	3	"corners"	18	11	8	7	11	8	11	3	13	7	69	16	6	7	17	5
"MG_HW"	"WRO1"	3	"SOC"	5	2	6	2	5	5	4	2	7	5	55	4	2	2	5	0
"MG_HW"	"WRO1"	3	"wide"	19	0	2	5	4	4	7	1	5	7	24	6	1	5	8	2
"RF_HW"	"CO1"	3	"Clock"	3	2	1	2	4	8	0	3	5	3	19	2	2	4	7	2
"RF_HW"	"CO1"	3	"corners"	5	4	0	2	8	8	5	2	1	4	16	10	3	8	7	4
"RF_HW"	"CO1"	3	"SOC"	9	5	8	1	5	7	6	3	11	7	31	7	4	2	8	3
"RF_HW"	"CO1"	3	"wide"	12	2	4	8	2	9	6	10	3	8	38	10	12	8	12	4
"RF_HW"	"WRO1"	3	"Clock"	5	2	1	1	5	9	2	1	2	3	7	4	2	4	6	11
"RF_HW"	"WRO1"	3	"corners"	2	6	4	4	11	17	5	3	4	8	37	6	4	6	6	5
"RF_HW"	"WRO1"	3	"SOC"	4	5	5	0	4	6	4	3	9	3	20	2	3	2	1	0
"RF_HW"	"WRO1"	3	"wide"	3	2	3	4	3	4	4	4	5	4	6	10	7	3	11	5
"UR_HW"	"CO1"	3	"Clock"	4	4	3	2	3	6	1	1	3	2	12	4	4	2	6	3
"UR_HW"	"CO1"	3	"corners"	4	7	2	0	6	9	4	3	4	4	18	6	5	2	4	0
"UR_HW"	"CO1"	3	"SOC"	5	4	9	9	7	9	8	2	9	7	41	14	8	7	9	6
"UR_HW"	"CO1"	3	"wide"	10	7	2	5	7	8	7	2	4	4	19	12	6	5	6	9
"UR_HW"	"WRO1"	3	"Clock"	15	10	4	5	12	18	5	1	5	4	54	8	6	4	9	11
"UR_HW"	"WRO1"	3	"corners"	15	10	6	8	15	22	3	3	8	7	62	12	5	5	14	4
"UR_HW"	"WRO1"	3	"SOC"	19	9	6	5	9	7	3	4	8	7	23	3	7	0	5	5
"UR_HW"	"WRO1"	3	"wide"	13	5	5	7	7	8	4	6	8	4	33	17	5	9	19	5
