"ParticipantName"	"StudioTestName"	"Group"	"FixationIndex"	"category"	"n"	"condt"
"BL"	"CRO2"	2	58	"X"	1	"Color_Clock"
"BL"	"CRO2"	2	59	"B"	9	"Color_Clock"
"BL"	"CRO2"	2	60	"X"	11	"Color_Clock"
"BL"	"CRO2"	2	61	"B"	11	"Color_Clock"
"BL"	"CRO2"	2	62	"B"	6	"Color_Clock"
"BL"	"CRO2"	2	63	"B"	15	"Color_Clock"
"BL"	"CRO2"	2	64	"A"	8	"Color_Clock"
"BL"	"CRO2"	2	65	"X"	11	"Color_Clock"
"BL"	"CRO2"	2	66	"B"	19	"Color_Clock"
"BL"	"CRO2"	2	67	"B"	12	"Color_Clock"
"BL"	"CRO2"	2	68	"B"	14	"Color_Clock"
"BL"	"CRO2"	2	69	"B"	18	"Color_Clock"
"BL"	"CRO2"	2	70	"X"	52	"Color_Clock"
"BL"	"CRO2"	2	186	"X"	10	"Color_Clock_2"
"BL"	"CRO2"	2	187	"X"	7	"Color_Clock_2"
"BL"	"CRO2"	2	188	"A"	6	"Color_Clock_2"
"BL"	"CRO2"	2	189	"B"	11	"Color_Clock_2"
"BL"	"CRO2"	2	327	"X"	4	"Color_Clock_3"
"BL"	"CRO2"	2	328	"X"	7	"Color_Clock_3"
"BL"	"CRO2"	2	329	"X"	10	"Color_Clock_3"
"BL"	"CRO2"	2	330	"C"	10	"Color_Clock_3"
"BL"	"CRO2"	2	331	"C"	13	"Color_Clock_3"
"BL"	"CRO2"	2	332	"C"	12	"Color_Clock_3"
"BL"	"CRO2"	2	333	"B"	10	"Color_Clock_3"
"BL"	"CRO2"	2	334	"B"	27	"Color_Clock_3"
"BL"	"CRO2"	2	353	"X"	8	"Color_Clock_4"
"BL"	"CRO2"	2	354	"X"	9	"Color_Clock_4"
"BL"	"CRO2"	2	355	"X"	9	"Color_Clock_4"
"BL"	"CRO2"	2	356	"C"	9	"Color_Clock_4"
"BL"	"CRO2"	2	357	"C"	13	"Color_Clock_4"
"BL"	"CRO2"	2	359	"C"	9	"Color_Clock_4"
"BL"	"CRO2"	2	360	"X"	8	"Color_Clock_4"
"BL"	"CRO2"	2	361	"X"	11	"Color_Clock_4"
"BL"	"CRO2"	2	362	"B"	10	"Color_Clock_4"
"BL"	"CRO2"	2	363	"A"	17	"Color_Clock_4"
"BL"	"CRO2"	2	364	"A"	6	"Color_Clock_4"
"BL"	"CRO2"	2	365	"B"	14	"Color_Clock_4"
"BL"	"CRO2"	2	366	"B"	9	"Color_Clock_4"
"BL"	"CRO2"	2	367	"A"	29	"Color_Clock_4"
"BL"	"CRO2"	2	639	"X"	26	"Color_Clock_5"
"BL"	"CRO2"	2	641	"X"	10	"Color_Clock_5"
"BL"	"CRO2"	2	642	"C"	10	"Color_Clock_5"
"BL"	"CRO2"	2	643	"C"	17	"Color_Clock_5"
"BL"	"CRO2"	2	644	"A"	55	"Color_Clock_5"
"BL"	"CRO2"	2	719	"X"	4	"Color_Clock_6"
"BL"	"CRO2"	2	720	"X"	6	"Color_Clock_6"
"BL"	"CRO2"	2	721	"X"	11	"Color_Clock_6"
"BL"	"CRO2"	2	722	"B"	11	"Color_Clock_6"
"BL"	"CRO2"	2	723	"A"	14	"Color_Clock_6"
"BL"	"CRO2"	2	724	"A"	22	"Color_Clock_6"
"BL"	"CRO2"	2	725	"A"	39	"Color_Clock_6"
"BL"	"CRO2"	2	868	"X"	12	"Color_Clock_7"
"BL"	"CRO2"	2	869	"A"	11	"Color_Clock_7"
"BL"	"CRO2"	2	870	"A"	6	"Color_Clock_7"
"BL"	"CRO2"	2	871	"A"	92	"Color_Clock_7"
"BL"	"CRO2"	2	908	"X"	8	"Color_Clock_8"
"BL"	"CRO2"	2	909	"X"	10	"Color_Clock_8"
"BL"	"CRO2"	2	910	"A"	21	"Color_Clock_8"
"BL"	"CRO2"	2	911	"B"	22	"Color_Clock_8"
"BL"	"CRO2"	2	912	"X"	50	"Color_Clock_8"
"BL"	"CRO2"	2	89	"X"	12	"Color_corners"
"BL"	"CRO2"	2	90	"B"	12	"Color_corners"
"BL"	"CRO2"	2	91	"B"	10	"Color_corners"
"BL"	"CRO2"	2	92	"B"	16	"Color_corners"
"BL"	"CRO2"	2	93	"B"	11	"Color_corners"
"BL"	"CRO2"	2	94	"B"	26	"Color_corners"
"BL"	"CRO2"	2	111	"X"	2	"Color_corners_2"
"BL"	"CRO2"	2	112	"X"	10	"Color_corners_2"
"BL"	"CRO2"	2	113	"X"	7	"Color_corners_2"
"BL"	"CRO2"	2	114	"B"	11	"Color_corners_2"
"BL"	"CRO2"	2	115	"C"	7	"Color_corners_2"
"BL"	"CRO2"	2	116	"X"	6	"Color_corners_2"
"BL"	"CRO2"	2	117	"C"	10	"Color_corners_2"
"BL"	"CRO2"	2	118	"A"	13	"Color_corners_2"
"BL"	"CRO2"	2	119	"A"	8	"Color_corners_2"
"BL"	"CRO2"	2	222	"X"	11	"Color_corners_3"
"BL"	"CRO2"	2	223	"X"	9	"Color_corners_3"
"BL"	"CRO2"	2	224	"B"	10	"Color_corners_3"
"BL"	"CRO2"	2	225	"A"	28	"Color_corners_3"
"BL"	"CRO2"	2	226	"A"	15	"Color_corners_3"
"BL"	"CRO2"	2	227	"B"	12	"Color_corners_3"
"BL"	"CRO2"	2	228	"A"	69	"Color_corners_3"
"BL"	"CRO2"	2	451	"A"	16	"Color_corners_4"
"BL"	"CRO2"	2	452	"B"	10	"Color_corners_4"
"BL"	"CRO2"	2	453	"A"	9	"Color_corners_4"
"BL"	"CRO2"	2	454	"A"	85	"Color_corners_4"
"BL"	"CRO2"	2	502	"X"	12	"Color_corners_5"
"BL"	"CRO2"	2	503	"B"	10	"Color_corners_5"
"BL"	"CRO2"	2	505	"B"	30	"Color_corners_5"
"BL"	"CRO2"	2	506	"B"	13	"Color_corners_5"
"BL"	"CRO2"	2	508	"A"	6	"Color_corners_5"
"BL"	"CRO2"	2	509	"A"	25	"Color_corners_5"
"BL"	"CRO2"	2	510	"A"	19	"Color_corners_5"
"BL"	"CRO2"	2	511	"A"	40	"Color_corners_5"
"BL"	"CRO2"	2	512	"B"	17	"Color_corners_5"
"BL"	"CRO2"	2	513	"A"	18	"Color_corners_5"
"BL"	"CRO2"	2	514	"A"	18	"Color_corners_5"
"BL"	"CRO2"	2	515	"A"	51	"Color_corners_5"
"BL"	"CRO2"	2	516	"C"	20	"Color_corners_5"
"BL"	"CRO2"	2	517	"X"	7	"Color_corners_5"
"BL"	"CRO2"	2	518	"C"	9	"Color_corners_5"
"BL"	"CRO2"	2	521	"A"	58	"Color_corners_5"
"BL"	"CRO2"	2	522	"X"	13	"Color_corners_5"
"BL"	"CRO2"	2	523	"X"	6	"Color_corners_5"
"BL"	"CRO2"	2	524	"B"	12	"Color_corners_5"
"BL"	"CRO2"	2	525	"B"	9	"Color_corners_5"
"BL"	"CRO2"	2	526	"B"	21	"Color_corners_5"
"BL"	"CRO2"	2	527	"A"	28	"Color_corners_5"
"BL"	"CRO2"	2	529	"A"	16	"Color_corners_5"
"BL"	"CRO2"	2	530	"B"	16	"Color_corners_5"
"BL"	"CRO2"	2	531	"C"	35	"Color_corners_5"
"BL"	"CRO2"	2	532	"C"	11	"Color_corners_5"
"BL"	"CRO2"	2	533	"C"	12	"Color_corners_5"
"BL"	"CRO2"	2	534	"C"	9	"Color_corners_5"
"BL"	"CRO2"	2	535	"C"	13	"Color_corners_5"
"BL"	"CRO2"	2	539	"A"	56	"Color_corners_5"
"BL"	"CRO2"	2	540	"C"	12	"Color_corners_5"
"BL"	"CRO2"	2	541	"X"	6	"Color_corners_5"
"BL"	"CRO2"	2	542	"X"	21	"Color_corners_5"
"BL"	"CRO2"	2	544	"X"	5	"Color_corners_5"
"BL"	"CRO2"	2	545	"X"	15	"Color_corners_5"
"BL"	"CRO2"	2	546	"C"	17	"Color_corners_5"
"BL"	"CRO2"	2	547	"A"	24	"Color_corners_5"
"BL"	"CRO2"	2	548	"X"	17	"Color_corners_5"
"BL"	"CRO2"	2	549	"B"	9	"Color_corners_5"
"BL"	"CRO2"	2	550	"B"	24	"Color_corners_5"
"BL"	"CRO2"	2	551	"B"	7	"Color_corners_5"
"BL"	"CRO2"	2	552	"C"	18	"Color_corners_5"
"BL"	"CRO2"	2	555	"X"	10	"Color_corners_5"
"BL"	"CRO2"	2	556	"B"	14	"Color_corners_5"
"BL"	"CRO2"	2	557	"C"	11	"Color_corners_5"
"BL"	"CRO2"	2	561	"B"	19	"Color_corners_5"
"BL"	"CRO2"	2	562	"B"	17	"Color_corners_5"
"BL"	"CRO2"	2	563	"X"	9	"Color_corners_5"
"BL"	"CRO2"	2	565	"B"	15	"Color_corners_5"
"BL"	"CRO2"	2	566	"B"	6	"Color_corners_5"
"BL"	"CRO2"	2	568	"X"	14	"Color_corners_5"
