"ParticipantName"	"AA"	"AB"	"AC"	"AX"	"BA"	"BB"	"BC"	"BX"	"CA"	"CB"	"CC"	"CX"	"XA"	"XB"	"XC"	"XX"
"1"	"ACSW"	9	0	0	0	4	11	3	3	2	4	6	3	2	6	6	5
"2"	"AHV_UP"	2	1	0	5	3	9	2	6	0	2	3	9	3	5	7	35
"3"	"ALP_UP"	3	1	1	3	5	6	2	6	0	4	15	7	6	7	8	8
"4"	"AM"	0	0	1	0	0	2	1	2	0	0	1	4	1	2	1	17
"5"	"BF"	0	1	0	0	0	4	0	5	0	0	0	0	0	4	0	20
"6"	"CMP_UP"	7	1	0	2	4	4	0	5	0	4	2	0	2	5	3	11
"7"	"DPB_UP"	2	3	1	0	3	14	0	5	2	1	16	6	4	6	7	11
"8"	"DT"	6	1	0	2	1	7	1	9	2	4	4	1	5	5	3	7
"9"	"EC"	2	0	0	1	3	4	2	3	0	4	5	6	5	3	5	8
"10"	"GB"	5	2	0	3	0	5	2	6	0	0	5	10	9	5	6	23
"11"	"HGR2"	6	1	0	5	3	7	2	12	0	4	11	12	6	10	11	32
"12"	"JMK_UP"	5	4	2	0	4	14	5	10	2	4	3	6	2	13	7	30
"13"	"JR"	1	1	0	1	3	2	0	1	1	2	3	1	1	2	3	2
"14"	"KAC_UP"	4	1	1	3	0	9	2	5	3	1	8	7	7	6	9	5
"15"	"KF"	6	6	2	4	9	16	7	2	3	7	10	7	0	7	10	4
"16"	"KG"	11	4	0	3	5	15	0	5	1	1	4	1	8	3	2	0
"17"	"LM"	0	1	0	2	3	1	0	6	0	2	6	4	3	3	2	12
"18"	"ML"	6	5	0	1	4	6	3	3	1	1	11	5	6	6	3	3
"19"	"MRG_UP"	2	2	1	1	6	6	1	8	0	6	1	5	2	9	6	29
"20"	"MS"	5	0	1	0	0	1	2	5	3	2	2	1	5	5	3	10
"21"	"RF"	2	1	0	2	3	5	2	5	1	4	1	3	3	4	4	13
"22"	"SG"	9	3	2	1	5	9	5	6	3	7	9	3	3	7	8	4
"23"	"SH"	6	0	0	0	4	3	0	1	1	2	2	0	1	1	2	2
"24"	"SK"	2	2	0	0	2	6	5	6	2	2	7	8	4	9	7	23
"25"	"SMB_UP"	1	4	2	2	4	4	3	5	1	3	1	6	6	5	6	17
"26"	"TMC_UP"	9	1	1	4	4	8	2	6	1	4	4	5	4	8	7	13
"27"	"TZ"	3	1	1	1	2	8	4	5	0	1	3	9	3	6	6	23
"28"	"VAS_UP"	2	0	0	2	1	6	3	4	1	5	7	7	3	1	10	11
"29"	"VMR_UP"	1	0	0	0	1	2	0	5	0	0	0	2	2	4	1	21
"30"	"ZW"	2	1	0	4	1	15	2	9	1	3	6	3	4	8	4	25
