"ParticipantName"	"AA"	"AB"	"AC"	"AX"	"BA"	"BB"	"BC"	"BX"	"CA"	"CB"	"CC"	"CX"	"XA"	"XB"	"XC"	"XX"
"ACSW"	5	3	1	1	7	14	0	6	0	4	19	4	5	7	6	6
"AHV_UP"	3	2	1	2	4	10	1	11	0	2	10	9	2	12	11	34
"ALP_UP"	7	1	0	2	5	20	1	4	1	1	16	6	3	8	7	4
"AM"	1	2	0	5	3	9	0	8	0	3	1	2	6	5	3	19
"BF"	1	0	0	2	0	0	0	0	0	0	0	1	2	1	0	17
"CMP_UP"	5	5	0	1	9	13	1	4	0	0	5	11	4	9	10	5
"DPB_UP"	4	3	0	5	10	22	3	9	1	4	17	4	2	15	4	2
"DT"	4	4	1	2	6	5	0	3	0	1	6	1	5	5	2	10
"EC"	5	0	1	1	3	1	1	1	1	1	13	6	5	4	6	5
"GB"	15	1	2	0	5	7	3	3	2	4	20	10	3	4	9	5
"HGR2"	7	0	0	3	1	5	1	2	1	1	18	9	3	2	10	22
"JMK_UP"	6	4	0	2	5	13	0	7	2	1	19	6	4	9	10	18
"JR"	2	2	0	0	3	1	1	1	0	0	4	1	1	2	1	2
"KAC_UP"	1	3	0	4	5	4	1	3	0	0	6	4	4	8	4	8
"KF"	7	4	0	2	7	18	1	3	2	1	10	5	2	8	5	3
"KG"	11	4	0	0	9	18	5	2	0	9	28	3	1	3	7	4
"LM"	5	1	0	1	2	7	1	7	0	2	16	11	4	9	12	29
"ML"	7	6	0	1	5	19	2	5	3	3	7	2	4	6	6	4
"MRG_UP"	6	4	2	4	4	13	4	10	5	3	11	6	4	11	6	14
"MS"	10	2	0	1	5	5	1	1	1	2	9	2	4	4	3	7
"RF"	2	2	0	5	3	3	0	5	0	2	1	5	7	4	4	19
"SG"	8	3	0	0	6	10	1	3	1	4	11	3	3	3	8	1
"SH"	5	0	1	0	2	8	1	0	2	2	3	3	2	2	3	3
"SK"	3	3	0	1	5	6	0	7	2	2	2	1	4	5	3	14
"SMB_UP"	3	3	0	4	4	6	1	4	0	3	3	4	6	6	6	12
"TMC_UP"	8	3	0	5	4	7	1	7	1	3	10	5	7	8	8	7
"TZ"	3	3	0	3	5	9	1	6	0	3	7	8	4	7	9	10
"VAS_UP"	3	2	0	1	3	11	2	10	1	5	16	8	3	8	13	22
"VMR_UP"	3	1	0	2	4	6	0	8	1	2	10	7	2	9	9	23
"ZW"	5	2	0	7	2	6	3	7	1	2	22	9	7	9	9	18
