"ParticipantName"	"AA"	"AB"	"AC"	"AX"	"BA"	"BB"	"BC"	"BX"	"CA"	"CB"	"CC"	"CX"	"XA"	"XB"	"XC"	"XX"
"ACSW"	5	1	0	0	3	17	2	4	0	1	6	3	5	8	2	8
"AHV_UP"	1	0	0	6	0	9	4	11	2	3	14	11	5	13	12	31
"ALP_UP"	4	1	1	1	3	5	2	3	2	1	0	4	1	6	4	10
"AM"	1	3	0	2	2	4	1	7	2	1	1	8	2	4	10	15
"BF"	0	0	0	0	0	2	0	7	0	0	1	2	2	4	2	29
"CMP_UP"	5	2	1	2	2	3	5	5	3	1	11	8	4	8	4	5
"DPB_UP"	4	3	2	1	3	4	3	5	2	2	5	3	5	5	2	8
"DT"	2	0	1	2	2	6	0	6	3	1	6	1	4	6	4	11
"EC"	6	2	1	1	6	2	1	1	3	0	1	1	3	6	2	5
"GB"	3	2	1	1	4	9	0	6	1	2	5	3	4	6	3	13
"HGR2"	8	2	1	3	3	12	2	5	0	2	3	4	5	3	2	18
"JMK_UP"	4	2	0	2	1	14	5	12	0	6	11	6	6	9	7	23
"JR"	1	0	2	2	1	1	0	2	2	0	3	3	4	3	3	6
"KAC_UP"	0	0	1	4	4	9	2	4	0	3	7	5	5	7	5	5
"KF"	9	5	3	2	6	15	3	5	3	5	23	6	4	6	10	5
"KG"	11	5	0	1	9	11	4	1	1	6	7	6	3	4	7	4
"LM"	1	0	1	0	0	4	2	6	1	2	5	4	2	2	0	17
"ML"	5	5	2	0	5	18	8	4	3	10	27	3	3	5	5	0
"MRG_UP"	4	1	1	2	2	10	0	10	2	3	2	3	3	5	6	34
"MS"	2	2	0	2	5	10	3	3	0	2	0	1	5	8	0	4
"RF"	2	1	1	2	3	4	0	8	0	2	2	1	5	6	2	17
"SG"	4	3	0	0	6	13	4	7	2	4	13	3	3	9	5	6
"SH"	2	1	0	1	1	8	1	2	0	1	2	3	5	1	1	4
"SK"	4	2	1	1	5	5	3	2	2	3	5	5	2	5	6	3
"SMB_UP"	0	1	1	3	2	4	0	9	2	1	4	2	3	8	4	18
"TMC_UP"	3	1	0	2	2	11	3	4	1	2	6	4	3	7	2	17
"TZ"	6	3	0	6	3	1	0	1	2	0	7	11	9	3	8	9
"VAS_UP"	5	2	0	0	3	1	1	6	0	3	2	0	3	6	1	7
"VMR_UP"	1	0	0	2	0	3	0	7	1	2	4	7	2	4	6	14
"ZW"	3	0	0	4	1	11	1	8	0	0	9	5	3	11	2	25
