ParticipantName	Condition	Group	AA	AB	AC	AX	BA	BB	BC	BX	CA	CB	CC	CX	XA	XB	XC	XX	total
ACSW	soc	T	5	1	0	0	3	17	2	4	0	1	6	3	5	8	2	8	65
AHV_UP	soc	U	1	0	0	6	0	9	4	11	2	3	14	11	5	13	12	31	122
ALP_UP	soc	U	4	1	1	1	3	5	2	3	2	1	0	4	1	6	4	10	48
AM	soc	T	1	3	0	2	2	4	1	7	2	1	1	8	2	4	10	15	63
BF	soc	T	0	0	0	0	0	2	0	7	0	0	1	2	2	4	2	29	49
CMP_UP	soc	U	5	2	1	2	2	3	5	5	3	1	11	8	4	8	4	5	69
DPB_UP	soc	U	4	3	2	1	3	4	3	5	2	2	5	3	5	5	2	8	57
DT	soc	T	2	0	1	2	2	6	0	6	3	1	6	1	4	6	4	11	55
EC	soc	T	6	2	1	1	6	2	1	1	3	0	1	1	3	6	2	5	41
GB	soc	T	3	2	1	1	4	9	0	6	1	2	5	3	4	6	3	13	63
HGR2	soc	T	8	2	1	3	3	12	2	5	0	2	3	4	5	3	2	18	73
JMK_UP	soc	U	4	2	0	2	1	14	5	12	0	6	11	6	6	9	7	23	108
JR	soc	T	1	0	2	2	1	1	0	2	2	0	3	3	4	3	3	6	33
KAC_UP	soc	U	0	0	1	4	4	9	2	4	0	3	7	5	5	7	5	5	61
KF	soc	T	9	5	3	2	6	15	3	5	3	5	23	6	4	6	10	5	110
KG	soc	T	11	5	0	1	9	11	4	1	1	6	7	6	3	4	7	4	80
LM	soc	T	1	0	1	0	0	4	2	6	1	2	5	4	2	2	0	17	47
ML	soc	T	5	5	2	0	5	18	8	4	3	10	27	3	3	5	5	0	103
MRG_UP	soc	U	4	1	1	2	2	10	0	10	2	3	2	3	3	5	6	34	88
MS	soc	T	2	2	0	2	5	10	3	3	0	2	0	1	5	8	0	4	47
RF	soc	T	2	1	1	2	3	4	0	8	0	2	2	1	5	6	2	17	56
SG	soc	T	4	3	0	0	6	13	4	7	2	4	13	3	3	9	5	6	82
SH	soc	T	2	1	0	1	1	8	1	2	0	1	2	3	5	1	1	4	33
SK	soc	T	4	2	1	1	5	5	3	2	2	3	5	5	2	5	6	3	54
SMB_UP	soc	U	0	1	1	3	2	4	0	9	2	1	4	2	3	8	4	18	62
TMC_UP	soc	U	3	1	0	2	2	11	3	4	1	2	6	4	3	7	2	17	68
TZ	soc	T	6	3	0	6	3	1	0	1	2	0	7	11	9	3	8	9	69
VAS_UP	soc	U	5	2	0	0	3	1	1	6	0	3	2	0	3	6	1	7	40
VMR_UP	soc	U	1	0	0	2	0	3	0	7	1	2	4	7	2	4	6	14	53
ZW	soc	T	3	0	0	4	1	11	1	8	0	0	9	5	3	11	2	25	83
ACSW	clock	T	5	3	1	1	7	14	0	6	0	4	19	4	5	7	6	6	88
AHV_UP	clock	U	3	2	1	2	4	10	1	11	0	2	10	9	2	12	11	34	114
ALP_UP	clock	U	7	1	0	2	5	20	1	4	1	1	16	6	3	8	7	4	86
AM	clock	T	1	2	0	5	3	9	0	8	0	3	1	2	6	5	3	19	67
BF	clock	T	1	0	0	2	0	0	0	0	0	0	0	1	2	1	0	17	24
CMP_UP	clock	U	5	5	0	1	9	13	1	4	0	0	5	11	4	9	10	5	82
DPB_UP	clock	U	4	3	0	5	10	22	3	9	1	4	17	4	2	15	4	2	105
DT	clock	T	4	4	1	2	6	5	0	3	0	1	6	1	5	5	2	10	55
EC	clock	T	5	0	1	1	3	1	1	1	1	1	13	6	5	4	6	5	54
GB	clock	T	15	1	2	0	5	7	3	3	2	4	20	10	3	4	9	5	93
HGR2	clock	T	7	0	0	3	1	5	1	2	1	1	18	9	3	2	10	22	85
JMK_UP	clock	U	6	4	0	2	5	13	0	7	2	1	19	6	4	9	10	18	106
JR	clock	T	2	2	0	0	3	1	1	1	0	0	4	1	1	2	1	2	21
KAC_UP	clock	U	1	3	0	4	5	4	1	3	0	0	6	4	4	8	4	8	55
KF	clock	T	7	4	0	2	7	18	1	3	2	1	10	5	2	8	5	3	78
KG	clock	T	11	4	0	0	9	18	5	2	0	9	28	3	1	3	7	4	104
LM	clock	T	5	1	0	1	2	7	1	7	0	2	16	11	4	9	12	29	107
ML	clock	T	7	6	0	1	5	19	2	5	3	3	7	2	4	6	6	4	80
MRG_UP	clock	U	6	4	2	4	4	13	4	10	5	3	11	6	4	11	6	14	107
MS	clock	T	10	2	0	1	5	5	1	1	1	2	9	2	4	4	3	7	57
RF	clock	T	2	2	0	5	3	3	0	5	0	2	1	5	7	4	4	19	62
SG	clock	T	8	3	0	0	6	10	1	3	1	4	11	3	3	3	8	1	65
SH	clock	T	5	0	1	0	2	8	1	0	2	2	3	3	2	2	3	3	37
SK	clock	T	3	3	0	1	5	6	0	7	2	2	2	1	4	5	3	14	58
SMB_UP	clock	U	3	3	0	4	4	6	1	4	0	3	3	4	6	6	6	12	65
TMC_UP	clock	U	8	3	0	5	4	7	1	7	1	3	10	5	7	8	8	7	84
TZ	clock	T	3	3	0	3	5	9	1	6	0	3	7	8	4	7	9	10	78
VAS_UP	clock	U	3	2	0	1	3	11	2	10	1	5	16	8	3	8	13	22	108
VMR_UP	clock	U	3	1	0	2	4	6	0	8	1	2	10	7	2	9	9	23	87
ZW	clock	T	5	2	0	7	2	6	3	7	1	2	22	9	7	9	9	18	109
ACSW	emo	T	5	3	0	1	8	9	1	3	0	5	4	3	2	5	7	3	59
AHV_UP	emo	U	0	0	0	3	1	2	0	2	0	0	6	9	5	3	7	32	70
ALP_UP	emo	U	10	7	2	0	1	7	3	5	4	5	15	2	5	2	7	8	83
AM	emo	T	3	0	0	3	1	1	0	3	0	0	3	4	2	4	1	14	39
BF	emo	T	1	0	0	1	0	1	0	3	0	1	2	3	2	1	4	22	41
CMP_UP	emo	U	7	3	1	0	3	11	1	6	2	0	3	3	2	4	4	6	56
DPB_UP	emo	U	3	1	2	0	4	18	0	3	1	2	14	6	3	5	6	2	70
DT	emo	T	4	0	0	2	5	3	2	1	0	3	3	6	4	5	6	3	47
EC	emo	T	4	0	0	0	5	7	0	0	1	3	6	3	1	3	7	6	46
GB	emo	T	12	4	1	4	6	11	0	5	3	3	9	3	2	3	7	10	83
HGR2	emo	T	8	2	0	4	4	5	0	1	3	0	1	2	2	1	4	9	46
JMK_UP	emo	U	4	0	0	1	4	14	8	2	1	7	16	10	1	7	10	27	112
JR	emo	T	3	2	0	2	1	0	0	0	0	0	2	1	5	0	0	4	20
KAC_UP	emo	U	3	2	0	0	3	8	3	3	3	2	1	2	2	4	6	9	51
KF	emo	T	5	6	3	0	9	13	2	0	1	3	7	2	3	3	3	3	63
KG	emo	T	7	5	1	1	6	9	0	6	1	4	11	2	5	3	6	3	70
LM	emo	T	1	0	0	0	1	1	1	2	0	1	6	7	1	2	1	24	48
ML	emo	T	4	0	0	1	4	19	1	7	2	4	9	5	3	8	9	4	80
MRG_UP	emo	U	2	2	1	1	2	2	0	4	2	2	11	6	4	3	8	19	69
MS	emo	T	4	0	1	0	3	2	0	2	4	2	4	2	1	3	6	2	36
RF	emo	T	1	2	0	3	3	5	1	9	0	2	1	5	4	10	5	17	68
SG	emo	T	7	0	1	1	3	7	2	7	1	6	14	5	5	6	9	7	81
SH	emo	T	5	2	0	1	5	4	2	1	2	2	3	2	0	3	2	1	35
SK	emo	T	2	2	1	2	6	6	2	0	0	4	7	3	3	2	5	8	53
SMB_UP	emo	U	0	1	1	4	4	9	1	5	2	2	11	14	1	7	12	28	102
TMC_UP	emo	U	5	0	0	2	1	2	0	2	1	0	6	5	3	3	4	16	50
TZ	emo	T	4	0	0	0	2	1	0	5	0	0	3	7	2	7	3	22	56
VAS_UP	emo	U	3	2	0	2	1	3	2	6	2	3	7	4	4	4	6	18	67
VMR_UP	emo	U	0	0	0	0	0	7	1	3	0	0	4	7	1	2	4	16	45
ZW	emo	T	3	0	1	1	1	6	4	6	0	4	7	7	2	6	5	44	97
ACSW	LP	T	5	3	1	1	7	14	0	6	0	4	19	4	5	7	6	6	88
AHV_UP	LP	U	3	2	1	2	4	10	1	11	0	2	10	9	2	12	11	34	114
ALP_UP	LP	U	7	1	0	2	5	20	1	4	1	1	16	6	3	8	7	4	86
AM	LP	T	1	2	0	5	3	9	0	8	0	3	1	2	6	5	3	19	67
BF	LP	T	1	0	0	2	0	0	0	0	0	0	0	1	2	1	0	17	24
CMP_UP	LP	U	5	5	0	1	9	13	1	4	0	0	5	11	4	9	10	5	82
DPB_UP	LP	U	4	3	0	5	10	22	3	9	1	4	17	4	2	15	4	2	105
DT	LP	T	4	4	1	2	6	5	0	3	0	1	6	1	5	5	2	10	55
EC	LP	T	5	0	1	1	3	1	1	1	1	1	13	6	5	4	6	5	54
GB	LP	T	15	1	2	0	5	7	3	3	2	4	20	10	3	4	9	5	93
HGR2	LP	T	7	0	0	3	1	5	1	2	1	1	18	9	3	2	10	22	85
JMK_UP	LP	U	6	4	0	2	5	13	0	7	2	1	19	6	4	9	10	18	106
