"ParticipantName"	"MediaName"	"FixationIndex"	"category"	"duration"
"ACSW"	"SOC_1.p"	1	"X"	266
"ACSW"	"SOC_1.p"	2	"B"	150
"ACSW"	"SOC_1.p"	3	"B"	217
"ACSW"	"SOC_1.p"	4	"C"	84
"ACSW"	"SOC_1.p"	5	"B"	216
"ACSW"	"SOC_1.p"	6	"B"	83
"ACSW"	"SOC_1.p"	7	"B"	216
"ACSW"	"SOC_1.p"	8	"B"	167
"ACSW"	"SOC_1.p"	9	"C"	166
"ACSW"	"SOC_1.p"	10	"X"	50
"ACSW"	"SOC_1.p"	11	"X"	84
"ACSW"	"SOC_1.p"	12	"A"	466
"ACSW"	"SOC_2.p"	1	"X"	133
"ACSW"	"SOC_2.p"	2	"C"	250
"ACSW"	"SOC_2.p"	3	"C"	83
"ACSW"	"SOC_2.p"	4	"X"	83
"ACSW"	"SOC_2.p"	5	"B"	150
"ACSW"	"SOC_2.p"	6	"B"	116
"ACSW"	"SOC_2.p"	7	"B"	200
"ACSW"	"SOC_2.p"	8	"B"	133
"ACSW"	"SOC_2.p"	9	"X"	134
"ACSW"	"SOC_2.p"	10	"X"	216
"ACSW"	"SOC_2.p"	11	"C"	50
"ACSW"	"SOC_2.p"	12	"C"	183
"ACSW"	"SOC_2.p"	13	"C"	133
"ACSW"	"SOC_2.p"	14	"C"	167
"ACSW"	"SOC_2.p"	15	"C"	117
"ACSW"	"SOC_2.p"	16	"C"	116
"ACSW"	"SOC_2.p"	17	"X"	116
"ACSW"	"SOC_2.p"	18	"B"	133
"ACSW"	"SOC_2.p"	19	"B"	200
"ACSW"	"SOC_2.p"	20	"B"	183
"ACSW"	"SOC_2.p"	21	"B"	200
"ACSW"	"SOC_2.p"	22	"X"	149
"ACSW"	"SOC_2.p"	23	"B"	134
"ACSW"	"SOC_2.p"	24	"A"	333
"ACSW"	"SOC_3.p"	1	"X"	133
"ACSW"	"SOC_3.p"	2	"X"	67
"ACSW"	"SOC_3.p"	3	"A"	649
"ACSW"	"SOC_3.p"	4	"A"	50
"ACSW"	"SOC_3.p"	5	"A"	566
"ACSW"	"SOC_3.p"	6	"A"	34
"ACSW"	"SOC_4.p"	1	"X"	133
"ACSW"	"SOC_4.p"	2	"X"	50
"ACSW"	"SOC_4.p"	3	"A"	116
"ACSW"	"SOC_4.p"	4	"A"	683
"ACSW"	"SOC_4.p"	5	"A"	16
"ACSW"	"SOC_5.p"	1	"X"	133
"ACSW"	"SOC_5.p"	2	"X"	133
"ACSW"	"SOC_5.p"	3	"B"	216
"ACSW"	"SOC_5.p"	4	"B"	183
"ACSW"	"SOC_5.p"	5	"B"	183
"ACSW"	"SOC_5.p"	6	"X"	134
"ACSW"	"SOC_5.p"	7	"A"	500
"ACSW"	"SOC_6.p"	1	"X"	167
"ACSW"	"SOC_6.p"	2	"X"	133
"ACSW"	"SOC_6.p"	3	"X"	67
"ACSW"	"SOC_6.p"	4	"B"	50
"ACSW"	"SOC_6.p"	5	"A"	167
"ACSW"	"SOC_6.p"	6	"B"	134
"ACSW"	"SOC_6.p"	7	"A"	733
"ACSW"	"SOC_7.p"	1	"X"	183
"ACSW"	"SOC_7.p"	2	"B"	50
"ACSW"	"SOC_7.p"	3	"B"	133
"ACSW"	"SOC_7.p"	4	"B"	100
"ACSW"	"SOC_7.p"	5	"B"	50
"ACSW"	"SOC_7.p"	6	"B"	84
"ACSW"	"SOC_7.p"	7	"X"	100
"ACSW"	"SOC_7.p"	8	"B"	83
"ACSW"	"SOC_7.p"	9	"B"	366
"ACSW"	"SOC_8.p"	1	"X"	49
"ACSW"	"SOC_8.p"	2	"X"	99
"ACSW"	"SOC_8.p"	3	"A"	633
"AHV_UP"	"SOC_1.p"	1	"X"	200
"AHV_UP"	"SOC_1.p"	2	"B"	150
"AHV_UP"	"SOC_1.p"	3	"C"	133
"AHV_UP"	"SOC_1.p"	4	"C"	50
"AHV_UP"	"SOC_1.p"	5	"B"	133
"AHV_UP"	"SOC_1.p"	6	"X"	50
"AHV_UP"	"SOC_1.p"	7	"B"	300
"AHV_UP"	"SOC_1.p"	8	"X"	133
"AHV_UP"	"SOC_1.p"	9	"X"	84
"AHV_UP"	"SOC_1.p"	10	"C"	233
"AHV_UP"	"SOC_1.p"	11	"C"	133
"AHV_UP"	"SOC_1.p"	12	"C"	200
"AHV_UP"	"SOC_1.p"	13	"C"	366
"AHV_UP"	"SOC_1.p"	14	"C"	250
"AHV_UP"	"SOC_1.p"	15	"C"	133
"AHV_UP"	"SOC_1.p"	16	"X"	200
"AHV_UP"	"SOC_1.p"	17	"X"	200
"AHV_UP"	"SOC_1.p"	18	"X"	116
"AHV_UP"	"SOC_1.p"	19	"X"	134
"AHV_UP"	"SOC_1.p"	20	"X"	283
"AHV_UP"	"SOC_1.p"	21	"B"	234
"AHV_UP"	"SOC_1.p"	22	"C"	200
"AHV_UP"	"SOC_1.p"	23	"X"	150
"AHV_UP"	"SOC_1.p"	24	"C"	84
"AHV_UP"	"SOC_1.p"	25	"B"	266
"AHV_UP"	"SOC_1.p"	26	"B"	184
"AHV_UP"	"SOC_1.p"	27	"X"	83
"AHV_UP"	"SOC_1.p"	28	"C"	150
"AHV_UP"	"SOC_1.p"	29	"C"	134
"AHV_UP"	"SOC_1.p"	30	"C"	367
"AHV_UP"	"SOC_1.p"	31	"X"	100
"AHV_UP"	"SOC_1.p"	32	"X"	217
"AHV_UP"	"SOC_1.p"	33	"B"	117
"AHV_UP"	"SOC_1.p"	34	"B"	117
